asset_criticality,vulnerability_count,critical_vulnerability_count,avg_cvss,max_cvss,exploitability,external_exposure,control_effectiveness,threat_likelihood,historical_incidents,unresolved_vuln_age_days,environment_cloud,residual_risk,inherent_risk,incident_occurrence,latent_probability,synthetic,dataset_label,feature_version,seed
1.0,5.0,0.0,7.105102802436267,8.256977154156324,0.8068831462361753,0.4,0.8316334955956768,0.595078606051394,0.0,8.90947255488253,0.0,15.241749626933474,51.99982986770317,0,0.37893679921776535,True,synthetic_demonstration,v1,26105
4.0,2.0,1.0,6.774521743398014,7.204171860391266,0.3955486799593685,1.0,0.2536536600078564,0.24082951115771303,0.0,35.829968921068286,1.0,41.82214384707639,53.31774988950417,0,0.6416510010520019,True,synthetic_demonstration,v1,26105
3.0,4.0,1.0,4.867464682584435,7.2231881972127265,0.6465081024846211,0.7,0.5730586615886069,0.16903406685839373,0.0,82.68442961169339,0.0,24.403221744537365,47.578894902159306,1,0.5334896314306059,True,synthetic_demonstration,v1,26105
1.0,5.0,1.0,6.2909364275752795,6.513903110714422,0.18402085942477037,0.2,0.5651203361684017,0.05721203257124857,0.0,23.064330999306208,0.0,7.588385756823821,14.602942625612958,0,0.2727597476433269,True,synthetic_demonstration,v1,26105
1.0,4.0,1.0,7.851129007765289,10.0,0.6239430910800874,0.2,0.10152250737649104,0.6379200492564682,0.0,49.00361470021452,0.0,41.96265379919032,45.92577900097857,0,0.5532352199975206,True,synthetic_demonstration,v1,26105
2.0,1.0,1.0,8.9656063578764,10.0,0.4538329828939098,0.7,0.27156244014432396,0.5230183443054405,0.0,36.503166407934025,1.0,38.575100168014636,50.15146662303817,1,0.5749661239754049,True,synthetic_demonstration,v1,26105
3.0,4.0,1.0,7.892701158522797,9.311835778975055,0.5488517737802128,1.0,0.36244689619044473,0.4684105011852463,1.0,6.5135696505616005,0.0,41.59523708242966,60.115661885988935,1,0.6529695187689619,True,synthetic_demonstration,v1,26105
1.0,1.0,1.0,2.2801758444382334,2.9743580680321466,0.8038932250219923,0.4,0.5763911650253243,0.4875368752157191,0.0,29.32819070857378,0.0,24.565423185850143,48.161121258099975,1,0.48359786902013907,True,synthetic_demonstration,v1,26105
4.0,2.0,0.0,5.516804537306086,7.52733954572009,0.21449566556285135,0.7,0.4888556864340232,0.3530983902993197,0.0,41.305234943102974,0.0,28.183760189882552,48.220835299547474,1,0.45371034853849274,True,synthetic_demonstration,v1,26105
1.0,2.0,1.0,6.250226636910323,6.274757101676305,0.4700168980969657,0.2,0.7583323739830884,0.47506673420092205,0.0,39.7650565798126,0.0,12.929291206445475,36.377758149456405,0,0.33385186892828644,True,synthetic_demonstration,v1,26105
5.0,3.0,3.0,5.303378278425676,6.028862499081989,0.3891064719673028,1.0,0.2428692478903493,0.26411760528670297,1.0,65.1538012420424,0.0,46.797711323301215,58.97177798421717,1,0.7683642704034545,True,synthetic_demonstration,v1,26105
2.0,7.0,0.0,0.8575498436535252,1.9692630102141688,0.5649485105525817,0.4,0.4850482957149314,0.16912713676615646,0.0,15.044542205766009,0.0,21.182889168374594,36.04316255063002,1,0.39089473687637305,True,synthetic_demonstration,v1,26105
5.0,0.0,0.0,4.855423346818022,7.042882622873272,0.7009204217023635,0.2,0.6276411810830788,0.6646398101021934,0.0,39.34941548610329,1.0,32.08873457488564,68.78540389613586,1,0.503773668495797,True,synthetic_demonstration,v1,26105
2.0,8.0,0.0,4.522608953028142,5.069334086057284,0.3789513262045334,1.0,0.8568368355638717,0.5327814641775037,2.0,23.50031308167821,0.0,14.43241140462999,53.12113440132597,1,0.43310452782075587,True,synthetic_demonstration,v1,26105
3.0,3.0,1.0,5.696520467624028,5.885614058104572,0.5997602505122052,0.2,0.4564857825803982,0.17178297310431018,1.0,46.27100215025348,0.0,23.871419341400323,39.00641032145599,0,0.4671400521618643,True,synthetic_demonstration,v1,26105
